forma_de_citar,licencia,registros,registros_mexico,doi
Prestridge H (2021). Biodiversity Research and Teaching Collections - TCWC Vertebrates. Version 9.4. Texas A&M University Biodiversity Research and Teaching Collections. Occurrence dataset https://doi.org/10.15468/szomia accessed via GBIF.org on 2022-07-07.,CC0 1.0,18790,12314,https://doi.org/10.15468/szomia
"Muñoz-Alonso L. A. y I. J. March-Mifsut. 2003. Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas. El Colegio de la Frontera Sur. Bases de datos SNIB-CONABIO, proyectos U014 y P132. México, D. F.",CC BY 4.0,17345,17098,
"Arroyo Gerala, P. 2025. Conservación y desarrollo sustentable en la zona sur de la Reserva de la Biosfera Montes Azules y su área de influencia en Marqués de Comillas. Natura y Ecosistemas Mexicanos, A.C. Bases de datos mamíferos SNIB-CONABIO, proyecto QQ004. Ciudad de México",CC BY 4.0,17205,17205,
"Grant S, Webbink K, Jones J, Ferguson A (2020). Field Museum of Natural History (Zoology) Mammal Collection. Version 9.18. Field Museum. Occurrence dataset https://doi.org/10.15468/n4zgxw accessed via GBIF.org on 2022-07-07.",CC0 1.0,15106,3870,https://doi.org/10.15468/n4zgxw
CONABIO. 2021. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México,CC BY-NC 4.0,14922,13922,
Mertz W (2022). LACM Vertebrate Collection. Version 18.11. Natural History Museum of Los Angeles County. Occurrence dataset https://doi.org/10.15468/77rmwd accessed via GBIF.org on 2022-07-07.,CC0 1.0,14768,8881,https://doi.org/10.15468/77rmwd
CONABIO. 2025. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México,CC BY-NC 4.0,14751,12283,
CONABIO. 2022. Naturalista. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO). Bases de datos SNIB-CONABIO. Ciudad de México,CC BY-NC 4.0,14109,13520,
"López-Wilchis R. 1998. Base de datos de mamíferos de México depositados en colecciones de Estados Unidos y Canadá. Unidad Iztapalapa. Universidad Autónoma Metropolitana. Bases de datos SNIB-CONABIO, proyecto P130. México, D. F.",CC BY 4.0,13676,13676,
"Ramírez-Pulido J. 1999. Biodiversidad mastozoológica del Eje Volcánico Transversal. Unidad Iztapalapa. Universidad Autónoma Metropolitana. Bases de datos SNIB-CONABIO, proyecto J121. México, D. F.",CC BY 4.0,13528,13528,
"Millen B, Lim B (2018). Mammalogy Collection - Royal Ontario Museum. Version 11.5. Royal Ontario Museum. Occurrence dataset https://doi.org/10.15468/2rlrvh accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,13292,2337,https://doi.org/10.15468/2rlrvh
Cook J (2022). MSB Mammal Collection (Arctos). Version 35.63. Museum of Southwestern Biology. Occurrence dataset https://doi.org/10.15468/oirgxw accessed via GBIF.org on 2022-07-07.,CC0 1.0,12664,0,https://doi.org/10.15468/oirgxw
Garner H (2016). TTU Mammals Collection. Version 9.1. Museum of Texas Tech University (TTU). Occurrence dataset https://doi.org/10.15468/yocqyp accessed via GBIF.org on 2022-07-07.,CC BY 4.0,11456,0,https://doi.org/10.15468/yocqyp
"Restrepo A, Corral Gómez J N (2022). Línea base general de aves y mamíferos a través de cámaras trampa para el valle medio del Magdalena - VMM. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Sampling event dataset https://doi.org/10.15472/bo1z8z accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,11354,0,https://doi.org/10.15472/bo1z8z
Happywhale. 2021. Happywhale - Humpback Whale in North Pacific Ocean. Data downloaded from OBIS-SEAMAP (http://seamap.env.duke.edu/dataset/1765) on yyyy-mm-dd originated from Happywhale.com. https://doi.org/10.15468/7c2dqf accessed via GBIF.org on 2022-07-07.,CC0 1.0,11133,11128,https://doi.org/10.15468/7c2dqf
iNaturalistMX. Disponible en https://mexico.inaturalist.org. Acceso 16 de febrero de 2024,CC BY-NC 4.0,10539,10539,
"López González C (2024). Colección de Mamíferos, Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional, Unidad Durango, Instituto Politécnico Nacional. Version 1.3. Instituto Politécnico Nacional, CIIDIR Unidad Durango. Occurrence dataset https://doi.org/10.15468/qgt6j4 accessed via GBIF.org on 2024-07-31.",CC BY 4.0,9048,9047,https://doi.org/10.15468/qgt6j4
"Lanier H, Braun J, King P (2022). Mammals Specimens. Sam Noble Oklahoma Museum of Natural History. Occurrence dataset https://doi.org/10.15468/fmuion accessed via GBIF.org on 2022-07-07.",CC0 1.0,9022,8830,https://doi.org/10.15468/fmuion
"León P. L. y V. Z. A. Ávila. 2012. Actualización de la base de datos de la Colección de mamíferos del Museo de Zoología 'Alfonso L. Herrera'. Colección Maztozoológica MZFC. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyectos EC010, J123, M099, B002 y H160. México, D. F.",CC BY 4.0,8771,8771,
"Natural Science Research Laboratory, Museum of Texas Tech University (TTU) (2024). Museum of Texas Tech University Mammalogy Collection. Occurrence dataset https://doi.org/10.15468/3z2std accessed via GBIF.org on 2024-07-31.",CC0 1.0,8345,8345,https://doi.org/10.15468/3z2std
"Harvard University M, Morris P J (2022). Museum of Comparative Zoology, Harvard University. Version 162.323. Museum of Comparative Zoology, Harvard University. Occurrence dataset https://doi.org/10.15468/p5rupv accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,7960,2940,https://doi.org/10.15468/p5rupv
Whiting A (2022). Brigham Young University Life Science Museum (BYU) Mammal Collection (Arctos). Version 1.14. Brigham Young University Life Science Museum. Occurrence dataset https://doi.org/10.15468/5sdbbp accessed via GBIF.org on 2022-07-07.,CC0 1.0,7876,7876,https://doi.org/10.15468/5sdbbp
"Abraczinskas L (2016). MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections. Version 8.1. Michigan State University Museum. Occurrence dataset https://doi.org/10.15468/xypr72 accessed via GBIF.org on 2022-07-07.",CC0 1.0,7509,6384,https://doi.org/10.15468/xypr72
Esselstyn J (2017). LSUMZ Mammals Collection. Louisiana State University Museum of Natural Science. Occurrence dataset https://doi.org/10.15468/wxiqf6 accessed via GBIF.org on 2022-07-07.,CC0 1.0,6877,3468,https://doi.org/10.15468/wxiqf6
"Vargas-Cuenca. J., Y. Hortelano-Mocanda y F. A. Cervantes. 2014. Actualización de la base de datos del estado de Morelos de la Colección Nacional de Mamíferos del Instituto de Biología, UNAM. Colección CNMA. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyectos JL003, HA023 y V043. México, D. F.",CC BY 4.0,6714,6714,
"Orrell T, Informatics Office (2022). NMNH Extant Specimen Records (USNM, US). Version 1.56. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2022-07-07.",CC0 1.0,6695,486,https://doi.org/10.15468/hnhrg3
Unitt P (2020). SDNHM Mammology Collection. Version 1.3. San Diego Natural History Museum. Occurrence dataset https://doi.org/10.15468/estih7 accessed via GBIF.org on 2022-07-07.,CC0 1.0,6363,6327,https://doi.org/10.15468/estih7
"Álvarez-Castañeda S. T. 2008. Computarización de la Colección de mamíferos del Centro de Investigaciones Biológicas del Noroeste SC. Colección de mamíferos CIBN. Centro de Investigaciones Biológicas del Noroeste S. C. Bases de datos SNIB-CONABIO, proyecto CC001. México, D. F.",CC BY 4.0,5910,5906,
"Dávila Reyes D, Costa Anillo J C, Olaciregui M J, Suarez Avellaneda J D, Gantiva – Q C H, Capera Moreno V H, Izquierdo Gómez E, Cañón Escobar S, González Torres D, Manjarres M, Herrera Palma M, Gómez camelo I, Patiño Florez E A, Guerra M L, Fuentes V, Rojas L G, Herrera Suárez G, Díaz Bustillo J (2022). Monitoreo de biodiversidad del Valle del Cerrejón. Version 1.9. Carbones del Cerrejón Limited. Sampling event dataset https://doi.org/10.15472/yemrps accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,5900,0,https://doi.org/10.15472/yemrps
"Servín-Martínez J. I. 1998. Los mamíferos del estado de Durango, México. Centro Regional. Instituto de Ecología. Bases de datos SNIB-CONABIO, proyecto P064. México, D. F.",CC BY 4.0,5687,5687,
"Lorenzo M. C., B. Prado y C. Pozo. 2017. Fortalecimiento de las colecciones de ECOSUR. Primera fase. El Colegio de la Frontera Sur. Bases de datos SNIB-CONABIO (colección de mamíferos de San Cristóbal de las Casas), proyectos ME006, BJ002, AA003, P028 y B114. Ciudad de México",CC BY 4.0,5410,5393,
"Rentail N. P. 2004. UAZ Vertebrates collections at the University of Arizona, database of Mexican specimens. The University of Arizona. Bases de datos SNIB-CONABIO. México, D. F.",CC BY-NC 4.0,5379,5379,
The International Barcode of Life Consortium (2022). International Barcode of Life project (iBOL). Occurrence dataset https://doi.org/10.15468/inygc6 accessed via GBIF.org on 2022-07-07.,CC BY 4.0,5317,3146,https://doi.org/10.15468/inygc6
Conroy C (2022). MVZ Mammal Collection (Arctos). Version 35.62. Museum of Vertebrate Zoology. Occurrence dataset https://doi.org/10.15468/uwudf9 accessed via GBIF.org on 2022-07-07.,CC0 1.0,5190,0,https://doi.org/10.15468/uwudf9
"Chávez Acosta M H, Cerrato Córdoba J P, Cicery Pérez J J, Martínez Ortega D, Mora Adarme E L, Ortega Goméz S, Mejía Bustos L A, Mantilla Y, Barrios N, Chavez Acosta M H, CORPOAMAZONÍA - Corporación para el Desarrollo Sostenible del Sur de la Amazonia, Gran Tierra Energy (2021). Registros de fauna asociados al proyecto: Conservación de félidos silvestres del Putumayo. Corpoamazonía - Corporación para el Desarrollo Sostenible del Sur de la Amazonia. Occurrence dataset https://doi.org/10.15472/l277ys accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,5178,0,https://doi.org/10.15472/l277ys
"Jiménez-Guzmán A., J. A. Niño-Ramírez y M. A. Zúñiga-Ramos. 1998. Mamíferos de Nuevo León: distribución y taxonomía. Facultad de Ciencias Biológicas. Universidad Autónoma de Nuevo León. Bases de datos SNIB-CONABIO, proyecto P008. México, D. F.",CC BY 4.0,4960,4960,
"García-Mendoza D. F. 2015. Actualización de la base de datos de la Colección Regional Durango (Mammalia). Colección CRD. Unidad Durango. Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyectos HA002, DC015, X011 y R008. México, D. F.",CC BY 4.0,4895,4893,
"Horváth A. 2008. Mamíferos de los Parques Nacionales Lagunas de Montebello y Palenque, Chiapas. Unidad San Cristóbal de las Casas. El Colegio de la Frontera Sur. Bases de datos SNIB-CONABIO, proyecto BK047. México, D. F.",CC BY 4.0,4858,4858,
"Delarue, J. 2014. Mingan Island Cetacean Study 84-07. Data downloaded from OBIS-SEAMAP (http://seamap.env.duke.edu/dataset/460) on yyyy-mm-dd. https://doi.org/10.15468/uc3weh accessed via GBIF.org on 2022-07-07.",CC BY 4.0,4836,4768,https://doi.org/10.15468/uc3weh
"Sánchez-Cordero V. y L. Guevara. 2016. Modelado de la distribución potencial de las musarañas (Mammalia, Soricidae). Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto JM044. Ciudad de México",CC BY 4.0,4757,333,
"Diaz-Pulido A, Morales Betancourt M A (2022). Registros de fauna mediante fototrampeo en Caño Cristales, La Macarena, Meta. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Occurrence dataset https://doi.org/10.15472/rymqle accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,4598,0,https://doi.org/10.15472/rymqle
"de Vries H, Lemmens M (2022). Observation.org, Nature data from around the World. Observation.org. Occurrence dataset https://doi.org/10.15468/5nilie accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,4505,144,https://doi.org/10.15468/5nilie
"Martínez-Gallardo R. 2011. Inventario de los mamíferos pequeños y medianos de las zonas áridas y semiáridas de Baja California. Facultad de Ciencias. Universidad Autónoma de Baja California. Bases de datos SNIB-CONABIO, proyecto GT026. México, D. F.",CC BY 4.0,4456,4456,
"Sánchez-Cordero V. 2006. Estado actual del conocimiento biológico de algunas especies de roedores de las familias Muridae, Geomyidae, Heteromyidae y Sciuridae (Rodentia: Mammalia) incluidas en el PROY-NOM-059-ECOL-2000. Instituto de Biología. Bases de datos SNIB-CONABIO, proyectos W036, A026 y L047. México, D. F.",CC BY 4.0,4451,4451,
"Álvarez-Castañeda S. T. 2008. Inventario de la mastofauna en las reservas de la biosfera Desierto del Vizcaíno y Valle de los Cirios. Centro de Investigaciones Biológicas del Noroeste S. C. Bases de datos SNIB-CONABIO, proyecto BE019. México, D. F.",CC BY 4.0,4290,4290,
"Ruano Meneses L A, Arenas D, Murillo García O E, Giraldo A (2021). Colección de mamíferos de la Universidad del Valle. Version 7.3. Universidad del Valle. Occurrence dataset https://doi.org/10.15472/jzume7 accessed via GBIF.org on 2022-07-07.",CC0 1.0,4237,0,https://doi.org/10.15472/jzume7
"Lopéz-Vidal J. C., C. Elizalde-Arellano, J.I. Campos-Rodríguez, N. Matías-Ferrer, N. González y S. Murillo-Jiménez. 2008. Computarización de las colecciones de vertebrados terrestres de la Escuela Nacional de Ciencias Biológicas, IPN-Fases 2 y 3. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyecto CC002. México, D. F.",CC BY 4.0,4043,4043,
"Sánchez-Cordero V. 2006. Estado actual del conocimiento biológico de algunas especies de roedores de las familias Muridae, Geomyidae, Heteromyidae y Sciuridae (Rodentia: Mammalia) incluidas en el PROY-NOM-059-ECOL-2000. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyectos W036, A026 Y L047. México, D. F.",CC BY 4.0,3992,3992,
"Botello F., J. Sánchez, A. Romero y V. Sánchez-Cordero. 2017. Ecología poblacional y conservación de Tapirus bairdii en la Sierra Mixe, Oaxaca. Conservación Biológica y Desarrollo Social A. C. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto LE005. Ciudad de México",CC BY 4.0,3930,3930,
"Calvache Sánchez C, Velásquez Roa T (2022). Sonidos de murciélagos en 10 remanentes de Bosque seco Tropical de la subregión centro norte del Valle del Cauca. Version 1.1. Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA. Occurrence dataset https://doi.org/10.15472/kg08na accessed via GBIF.org on 2022-07-07.",CC BY 4.0,3895,0,https://doi.org/10.15472/kg08na
"López H, Raz L, Agudelo Zamora H (2022). Colección de Mamíferos del Instituto de Ciencias Naturales (ICN-MHN-Ma). Version 2.14. Universidad Nacional de Colombia. Occurrence dataset https://doi.org/10.15472/lrjbmd accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,3760,0,https://doi.org/10.15472/lrjbmd
"Ramírez-Chaves H E, Mejía Fontecha I Y, Velasquez D, Castaño D (2022). Colección de Mamíferos (Mammalia) del Museo de Historia Natural de la Universidad de Caldas, Colombia. Version 2.7. Universidad de Caldas. Occurrence dataset https://doi.org/10.15472/mnevig accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,3725,0,https://doi.org/10.15472/mnevig
"Medrano L. y M. J. Vázquez-Cuevas. 2020. Apoyo a las colecciones biológicas de la Facultad de Ciencias de la UNAM: Fase 1. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO (coleccion de mastozoología marina), proyecto LE002. Ciudad de México",CC BY 4.0,3692,3689,
Marin V (2025). Feline and other mammals monitoring 2024 in Tres Mesas wind farm - ENGIE Mexico. ENGIE. Occurrence dataset https://doi.org/10.15468/y3qsdx accessed via GBIF.org on 2025-09-01.,CC BY 4.0,3589,3589,https://doi.org/10.15468/y3qsdx
Krejsa D (2022). Angelo State Natural History Collections (ASNHC) Mammal specimens (Arctos). Version 1.31. Angelo State Natural History Collections (ASNHC). Occurrence dataset https://doi.org/10.15468/vbfxbd accessed via GBIF.org on 2022-07-07.,CC0 1.0,3441,3378,https://doi.org/10.15468/vbfxbd
"Álvarez-Solórzano T. y J. C. López-Vidal. 1998. Biodiversidad de los mamíferos en el Estado de Michoacán. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyecto P020. México, D. F.",CC BY 4.0,3365,3365,
"Cortés-Calva P. 2015. Inventario de los murciélagos de las regiones áridas y semiáridas de México y la elaboración de su catálogo de sonogramas. Centro de Investigaciones Biológicas del Noroeste S. C. Bases de datos SNIB-CONABIO, proyecto GT033. México, D. F.",CC BY 4.0,3346,3346,
Bucci M (2016). UAZ Mammals. Version 5.1. University of Arizona Museum of Natural History. Occurrence dataset https://doi.org/10.15468/2swesj accessed via GBIF.org on 2022-07-07.,CC0 1.0,3225,3117,https://doi.org/10.15468/2swesj
"Morales-Pérez J. E. 2005. Vertebrados terrestres del Corredor Biológico Sierra Madre del Sur, Chiapas, México. Dirección de Investigación Miguel Álvarez del Toro. Instituto de Historia Natural y Ecología (IHNE). Bases de datos SNIB-CONABIO, proyecto Y021. México, D. F.",CC BY 4.0,3194,3194,
"Muséum d'histoire naturelle de la Ville de Genève - MHNG. Mammals housed at MHNG, Geneva. Occurrence dataset https://doi.org/10.15468/lwu4fj accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,3182,164,https://doi.org/10.15468/lwu4fj
Pérez Consuegra S G (2016). USAC Mammals Collection. Version 8.1. Museo de Historia Natural de la USAC MUSHNAT. Occurrence dataset https://doi.org/10.15468/16fwgc accessed via GBIF.org on 2022-07-07.,CC0 1.0,3131,0,https://doi.org/10.15468/16fwgc
"Raz L, Agudelo H (2016). ICN - Universidad Nacional de Colombia. Version 2.2. Universidad Nacional de Colombia. Occurrence dataset https://doi.org/10.15472/v2lnzj accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,3111,0,https://doi.org/10.15472/v2lnzj
"Briones-Salas M. A. 2006. Incorporación de nuevos registros de mamíferos de la región Sierra Norte de Oaxaca. Unidad Oaxaca. Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyectos BA009 y R104. México, D. F.",CC BY 4.0,2962,2962,
"Botello F., M. Aranda y V. Sánchez-Cordero. 2010. Fortalecimiento de la Colección de fotocolectas biológicas (CFB): una propuesta del uso de la imagen digital al servicio del conocimiento de la biodiversidad. Colección CNFB. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto FS0030. México, D. F.",CC BY 4.0,2939,2939,
"López-González C. 2012. Mamíferos silvestres de la cuenca del río Mezquital-San Pedro, Durango-Nayarit. Unidad Durango. Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyecto GT015. México, D. F.",CC BY 4.0,2910,2910,
"Dunn, C. 2013. Bahamas Marine Mammal Research Organisation Opportunistic Sightings. Data downloaded from OBIS-SEAMAP (http://seamap.env.duke.edu/dataset/329) on yyyy-mm-dd. https://doi.org/10.15468/gecyyy accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,2893,0,https://doi.org/10.15468/gecyyy
"Elizalde-Arellano C., J. C. López-Vidal, F. M. Morales-Mejía, L. Hernández y J. W. Laundré. 2013. Bases para el monitoreo de dos especies de carnívoros medianos en la Reserva de la Biosfera de Mapimí, Durango. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyecto GT022. México, D. F.",CC BY 4.0,2829,2829,
"Flannery M, Fong J (2022). CAS Mammalogy (MAM). Version 133.333. California Academy of Sciences. Occurrence dataset https://doi.org/10.15468/dhbozg accessed via GBIF.org on 2022-07-07.",CC0 1.0,2769,2728,https://doi.org/10.15468/dhbozg
Molina K (2016). UCLA Donald R. Dickey Bird and Mammal Collection. UCLA-Dickey Collection (UCLA-Dickey). Occurrence dataset https://doi.org/10.15468/qv6cxl accessed via GBIF.org on 2022-07-07.,CC0 1.0,2741,1174,https://doi.org/10.15468/qv6cxl
"Marin V, Diaz K, Ceballos G (2024). Feline and other mammals monitoring in Tres Mesas wind farm - Tamaulipas, Mexico. ENGIE. Occurrence dataset https://doi.org/10.15468/vkajag accessed via GBIF.org on 2024-07-31.",CC BY-NC 4.0,2730,2730,https://doi.org/10.15468/vkajag
"Escalona-Segura G., X. L. García-Reynosa, W. Ku-Peralta, J. D. Cú-Vizcarra, K. P. Borges-Jesús, E. L. O. Hernández-Pérez, J. C. Sánchez-Martínez, T. E. Chi-Coyoc, M. A. Tuz-Collí, M. Rodríguez-Macedo, R. Puch-Chávez y G. M. Uc-Cua. 2017. Inventario de aves y mamíferos en humedales de Laguna de Términos y Pantanos de Centla en Tabasco y Campeche. El Colegio de la Frontera Sur Unidad Campeche. Bases de datos SNIB-CONABIO, proyecto LH009. Ciudad de México",CC BY 4.0,2656,2656,
"iNaturalist contributors, iNaturalist (2022). iNaturalist Research-grade Observations. iNaturalist.org. Occurrence dataset https://doi.org/10.15468/ab3s5x accessed via GBIF.org on 2022-07-07.",CC BY 4.0,2634,0,https://doi.org/10.15468/ab3s5x
"Reed D, Mathis V, Paine W (2022). UF Florida Museum of Natural History Mammals. Florida Museum of Natural History. Occurrence dataset https://doi.org/10.15468/kccunf accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,2524,286,https://doi.org/10.15468/kccunf
Happywhale. 2021. Happywhale - Humpback Whale in North Pacific Ocean. Data downloaded from OBIS-SEAMAP (http://seamap.env.duke.edu/dataset/1765) on yyyy-mm-dd originated from Happywhale.com. https://doi.org/10.15468/7c2dqf accessed via GBIF.org on 2022-07-07.,CC BY-NC 4.0,2462,2462,https://doi.org/10.15468/7c2dqf
"Cáceres Gómez L F, Gutiérrez Triana L A, Ramos Pallares E P, Calderón Patiño J T, Cediel Martínez F J, Gutiérrez Ramírez A, Giraldo H, Rodríguez S M, Torres Chaparro M Y, Cáceres Gómez Á E, Caballero A. D V (2021). Muestreos de fauna silvestre existente en la franja de protección del embalse y áreas de reserva protectora de la Central Hidroeléctrica Sogamoso. Version 1.1. ISAGEN S.A. E.S.P.. Occurrence dataset https://doi.org/10.15472/njklte accessed via GBIF.org on 2022-07-07.",CC BY-NC 4.0,2401,0,https://doi.org/10.15472/njklte
